FREESPEECH,1065
FUELPRICES,978
GENDER_VIOLENCE,1108
GENERAL_GOVERNMENT,44766
GENERAL_HEALTH,35564
GENERAL_PUBLIC,743
GENTRIFICATION,101
GEN_HOLIDAY,3366
GOV_DISSOLVEGOV,13
GOV_DIVISIONOFPOWER,5
GOV_FOIA,263
GOV_INTERGOVERNMENTAL,142
GOV_LOCALGOV,3227
GOV_MILITARY,7
GOV_REFORM,71
GOV_REPATRIATION,385
GOV_STATE,27
GOV_WARRANTLESS,19
GOV_WIRETAPPING,64
GRIEVANCES,661
HARASSMENT,1354
HATE_SPEECH,849
HEALTH_PANDEMIC,100
HEALTH_SEXTRANSDISEASE,360
HEALTH_VACCINATION,638
HUMAN_RIGHTS,4232
HUMAN_TRAFFICKING,1336
IDEOLOGY,5664
IMMIGRATION,3984
IMPEACHMENT,402
INCOME_INEQUALITY,173
INEQUALITY,596
INFO_HOAX,173
INFO_RUMOR,1627
INFRASTRUCTURE_BAD,410
INSURGENCY,1459
INTERNET_BLACKOUT,20
INTERNET_CENSORSHIP,30
JIHAD,915
JUSTICE,1084
KIDNAP,2154
KILL,35803
LANDMINE,398
LEADER,49523
LEGALIZE,458
LEGISLATION,22371
LEG_CONSTITUTIONALAMENDMENT,146
LGBT,3250
LITERACY,396
LOCUSTS,9
MANMADE_DISASTER,46583
MARITIME,11616
MARITIME_INCIDENT,8013
MARITIME_PIRACY,648
MEDIA_CENSORSHIP,1068
MEDIA_MSM,36879
MEDIA_SOCIAL,23245
MEDICAL,33133
MEDICAL_SECURITY,139
MED_COUNTERFEITDRUGS,17
MED_EMERGENCYROOM,379
MED_MEDICALTOURISM,43
MILITARY,11741
MILITARY_COOPERATION,304
MIL_MERCENARIES,72
MIL_SELF,66
MIL_WEAPONS,85
MOVEMENT_ENVIRONMENTAL,205
MOVEMENT_GENERAL,9227
MOVEMENT_OTHER,394
MOVEMENT_SOCIAL,403
MOVEMENT_WOMENS,358
NATURAL_DISASTER,35501
NEGOTIATIONS,4919
NEW_CONSTRUCTION,1407
ORGANIZED_CRIME,1729
PEACEKEEPING,642
PERSECUTION,547
PHONE_OUTAGE,2
PIPELINE_INCIDENT,40
PIRACY,430
POLITICAL_PRISONER,127
POLITICAL_TURMOIL,810
POL_HOSTVISIT,1
POPULATION_DENSITY,265
POVERTY,3398
POWER_OUTAGE,462
PRIVATIZATION,316
PROPAGANDA,1039
PROPERTY_RIGHTS,431
PROTEST,11839
PUBLIC_TRANSPORT,6754
RAIL_INCIDENT,166
RAPE,3441
RATIFY,1098
REBELLION,2881
REBELS,1204
RECRUITMENT,2783
REFUGEES,3860
RELATIONS,385
RELEASE_HOSTAGE,770
RELIGION,4103
REL_ANTISEMITISM,176
REL_ISLAMIZATION,4
REL_ISLAMOPHOBIA,86
RESIGNATION,2180
RETALIATE,895
RETIREMENT,3176
RETIREMENTS,505
ROAD_INCIDENT,626
RURAL,4798
SANCTIONS,2572
SANITATION,1236
SCANDAL,1873
SCIENCE,13221
SECURITY_SERVICES,27698
SEIGE,1854
SEIZE,2411
SELF_IDENTIFIED,8310
SEPARATISTS,389
SHORTAGE,2255
SICKENED,276
SLFID_CAPACITY,184
SLFID_CIVIL,471
SLFID_DICTATORSHIP,1557
SLFID_ECONOMIC,2449
SLFID_MILITARY,306
SLFID_MINERAL,259
SLFID_NATURAL,1235
SLFID_PEACE,23
SLFID_POLITICAL,7
SLFID_RULE,682
SLUMS,250
SMUGGLING,1449
SOC_AGINGPOPULATION,183
SOC_AIDASSISTANCE,16
SOC_BURIALPRACTICES,18
SOC_CHILDSOLDIER,92
SOC_CHRONICDISEASE,138
SOC_COUNTERFEITFOOD,7
SOC_DEGRADINGTREATMENT,26
SOC_DIPLOMRECOG,357
SOC_EARLYMARRIAGE,194
SOC_ECONCOOP,805
SOC_EFFIGY,26
SOC_EMERGINGTECH,1404
SOC_EXCEPTIONALISM,22
SOC_EXPRESSREGRET,2087
SOC_EXPRESSSUPPORT,122
SOC_FASCISM,258
SOC_FLAGBURNING,5
SOC_FORCEDRELOCATION,13
SOC_GENERALCRIME,17905
SOC_INDSERVITUDE,175
SOC_INNOVATION,6569
SOC_INTELSHARING,52
SOC_JUDICIALCOOP,5
SOC_MARGINALIZE,203
SOC_MASSMIGRATION,55
SOC_PARDON,276
SOC_POINTSOFINTEREST,147380
SOC_POLARIZED,386
SOC_POLICEMILITARIZATION,6
SOC_QUARANTINE,110
SOC_RANSOM,233
SOC_REFUGEECAMP,546
SOC_SELFIMMOLATION,17
SOC_SERVICEDISRUPTION,42
SOC_SLAVERY,1673
SOC_SUICIDE,2784
SOC_SUSPICIOUSACTIVITIES,9
SOC_SUSPICIOUSACTIVITY,97
SOC_SUSPICIOUSPEOPLE,20
SOC_TECHNOLOGYSECTOR,136
SOC_TRAFFICACCIDENT,653
SOC_USSECURITYAGENCIES,2365
SOVEREIGNTY,1109
STATE_OF,239
STRIKE,1957
SUICIDE_ATTACK,906
SURVEILLANCE,1764
TAKE_OFFICE,1412
TAX_AGRICULHARMINSECTS,763
TAX_AIDGROUPS,11693
TAX_CARTELS,32
